Index,Tm,2016WP,2015WP,2014WP,2013WP,2016 Capacity,2016AvgPrice,2016Attendper,2015Attendance,2015Attendper,2014Attendance,2014Attendper,2013Attendance,2013Attendper,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
1,COL,0.481,0.42,0.407,0.457,50445,23.99,29467,2506789,30948,2680329,33090,2793828,34492,28,28.7,118,119,0,3,7,"$96,438,600 ",3:06,38,21,55%,Weiss
2,CHW,0.679,0.469,0.451,0.389,40615,29.55,18213,1755810,21677,1650821,20381,1768413,21832,28.2,27.8,96,97,0,1,8,"$112,889,700 ",3:00,31,16,51%,Ventura
3,PHI,0.571,0.389,0.451,0.451,43651,41.5,24807,1831080,22606,2423852,29924,3012403,37190,28,28.5,100,101,0,1,9,"$103,082,167 ",2:58,33,23,69%,Sandberg and Mackanin
4,MIA,0.538,0.438,0.475,0.383,36742,28.31,21012,1752235,21633,1732283,21386,1586322,19584,27.9,27.3,98,99,0,2,7,"$70,031,500 ",2:51,23,15,65%,Redmond and Jennings
5,CLE,0.5,0.503,0.525,0.564,37675,25.61,14854,1388905,17361,1437393,17746,1572926,19419,28,27.3,106,106,0,1,5,"$59,163,766 ",3:00,25,14,56%,Francona
6,STL,0.5,0.608,0.55,0.592,48861,35.24,43265,3520889,43468,3540649,43712,3369769,41602,28.4,28.2,102,101,0,6,14,"$128,241,500 ",2:59,22,12,54%,Matheny
7,MIL,0.407,0.42,0.506,0.457,41900,26.32,27283,2542558,31390,2797384,34536,2531105,31248,28.1,28.4,101,101,0,2,7,"$70,869,500 ",3:01,25,15,60%,Roenicke and Counsell
8,HOU,0.357,0.53,0.432,0.315,42060,37.25,27692,2153585,26587,1751829,21628,1651883,20394,26.6,29.4,100,100,0,2,7,"$93,256,200 ",3:03,39,20,51%,Hinch
9,SFG,0.517,0.518,0.556,0.469,41915,35.76,41497,3375882,41678,3368697,41589,3369106,41087,28.9,31.5,97,96,0,4,12,"$180,018,166 ",3:02,30,17,56%,Bochy
10,SEA,0.593,0.469,0.537,0.438,47476,28.75,26521,2193581,27081,2064334,25486,1761546,21747,28.6,28.6,94,94,0,2,8,"$130,681,400 ",3:01,34,25,73%,McClendon
11,TOR,0.483,0.567,0.512,0.457,49282,31.01,34257,2794891,34505,2375525,29327,2536562,31316,29.5,29.2,99,98,0,3,12,"$117,917,400 ",2:53,38,17,44%,Gibbons
12,CHC,0.769,0.591,0.451,0.407,42495,51.33,37286,2919122,36039,2652113,32742,2642682,32626,26.9,29.3,100,100,0,2,11,"$115,306,610 ",3:02,40,26,65%,Maddon
13,TEX,0.536,0.539,0.414,0.558,48114,23.64,31940,2491875,30764,2718733,33565,3178273,38759,28.6,28.1,105,105,0,1,9,"$178,860,789 ",3:04,43,15,34%,Banister
14,NYY,0.36,0.534,0.518,0.525,49642,51.55,37498,3193795,39430,3401624,41995,3279589,40489,31.2,27.4,98,98,0,3,13,"$214,051,957 ",3:08,26,19,73%,Girardi
15,BOS,0.593,0.481,0.438,0.607,37949,54.79,34531,2880694,35564,2956089,36495,2833333,34979,28.4,28.6,106,107,0,1,15,"$183,931,900 ",3:06,45,19,42%,Farrell
16,TBR,0.462,0.494,0.475,0.559,42735,21.04,16243,1287054,15322,1446464,17858,1510300,18646,28.4,26.7,98,98,0,2,7,"$64,571,233 ",2:59,47,15,31%,Cash
17,WSN,0.704,0.512,0.584,0.531,41418,36.59,26145,2619843,32344,2579389,31844,2652422,32746,28.4,28.6,104,103,0,2,11,"$176,496,372 ",2:54,25,9,36%,Williams
18,MIN,0.286,0.512,0.432,0.407,39021,33.28,23397,2220054,27408,2250606,27785,2477644,30588,28.3,29.1,103,103,0,2,7,"$107,755,000 ",2:57,35,20,57%,Molitor
19,LAA,0.464,0.525,0.594,0.481,45483,32.7,37397,3012765,37195,3095935,38221,3019505,37278,28.6,28.3,94,93,0,3,10,"$131,522,500 ",3:00,32,20,62%,Scioscia
20,BAL,0.577,0.5,0.586,0.525,45971,29.96,20307,2281202,29246,2464473,30426,2357561,29106,27.9,28.3,103,103,0,4,10,"$112,989,833 ",2:55,23,14,60%,Showalter
21,NYM,0.654,0.557,0.488,0.457,41922,26.02,32585,2569753,31725,2148808,26528,2135657,26366,28.6,28.2,95,94,0,1,9,"$98,874,473 ",2:56,30,16,53%,Collins
22,PIT,0.536,0.601,0.54,0.577,38362,29.96,26684,2498596,30847,2442564,30155,2256862,27862,28.2,29.6,98,98,0,4,12,"$104,457,499 ",3:06,39,21,53%,Hurdle
23,SDP,0.393,0.457,0.475,0.469,42524,23.71,27690,2459752,30367,2195373,27103,2166691,26749,27.6,29.1,93,93,0,1,6,"$125,203,700 ",3:01,35,16,45%,Black Roberts and Murphy
24,CIN,0.393,0.395,0.469,0.552,42319,22.01,22005,2419506,29870,2476664,30576,2492101,31151,29.5,27.3,100,101,0,2,9,"$111,572,286 ",3:02,26,16,61%,Price
25,ARI,0.414,0.488,0.395,0.5,48633,18.53,26503,2080145,25681,2073730,25602,2134895,26357,26.6,27.1,103,104,0,2,5,"$64,434,000 ",3:10,28,16,57%,Hale
26,DET,0.538,0.46,0.545,0.567,41681,28.88,28290,2726048,33655,2917209,36015,3083397,38067,28.3,28.7,98,98,0,4,14,"$172,284,750 ",3:09,23,9,39%,Ausmus
27,KCR,0.518,0.596,0.568,0.531,37903,26.88,33486,2708549,33439,1956482,24154,1750754,21614,29.1,30,103,103,0,7,14,"$121,590,475 ",3:00,26,16,61%,Yost
28,LAD,0.5,0.563,0.572,0.564,56000,31.9,46757,3764815,46479,3782337,46696,3743527,46216,29.5,28.1,96,95,0,5,12,"$265,140,000 ",3:03,39,16,41%,Mattingly
29,ATL,0.259,0.414,0.488,0.584,50096,19.38,25516,2001392,24709,2354305,29065,2548679,31465,28.8,26.6,95,96,0,1,10,"$104,037,500 ",2:55,37,19,51%,Gonzalez
30,OAK,0.448,0.42,0.54,0.587,55945,24.46,18380,1768175,21829,2003628,24736,1809302,22337,27.9,27.8,100,100,0,2,10,"$64,016,001 ",3:01,28,15,53%,Melvin
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,Arizona,0.395,0.333,0,,0.418,0.373,0.5,,,,,,,,,,,,,,,,,
,,17,Atlanta,0.488,0.667,1,,0.518,0.457,0.584,,,,,,,,,,,,,,,,,
,,2,Baltimore,0.586,0,0,,0.612,0.559,0.525,,,,,,,,,,,,,,,,,
,,25,Boston,0.438,0.333,0,,0.42,0.457,0.607,,,,,,,,,,,,,,,,,
,,22,Chi Cubs,0.451,0.667,1,,0.506,0.395,0.407,,,,,,,,,,,,,,,,,
,,23,Chi Sox,0.451,0.333,0,,0.494,0.407,0.389,,,,,,,,,,,,,,,,,
,,21,Cincinnati,0.469,0.667,1,,0.543,0.395,0.552,,,,,,,,,,,,,,,,,
,,12,Cleveland,0.525,0.667,1,,0.593,0.457,0.564,,,,,,,,,,,,,,,,,
,,29,Colorado,0.407,0,0,,0.556,0.259,0.457,,,,,,,,,,,,,,,,,
,,8,Detroit,0.545,0,0,,0.549,0.542,0.567,,,,,,,,,,,,,,,,,
,,26,Houston,0.432,0.333,0,,0.469,0.395,0.315,,,,,,,,,,,,,,,,,
,,5,Kansas City,0.568,0.333,1,,0.545,0.591,0.531,,,,,,,,,,,,,,,,,
,,1,LA Angels,0.594,0,0,,0.626,0.561,0.481,,,,,,,,,,,,,,,,,
,,4,LA Dodgers,0.572,0.333,0,,0.554,0.59,0.564,,,,,,,,,,,,,,,,,
,,18,Miami,0.475,0.333,0,,0.518,0.432,0.383,,,,,,,,,,,,,,,,,
,,15,Milwaukee,0.506,0.333,0,,0.518,0.494,0.457,,,,,,,,,,,,,,,,,
,,27,Minnesota,0.432,0.667,0,,0.432,0.432,0.407,,,,,,,,,,,,,,,,,
,,16,NY Mets,0.488,0.667,1,,0.494,0.481,0.457,,,,,,,,,,,,,,,,,
,,13,NY Yankees,0.518,0.667,1,,0.531,0.506,0.525,,,,,,,,,,,,,,,,,
,,9,Oakland,0.54,0.333,0,,0.593,0.488,0.587,,,,,,,,,,,,,,,,,
,,24,Philadelphia,0.451,0.333,0,,0.457,0.444,0.451,,,,,,,,,,,,,,,,,
,,10,Pittsburgh,0.54,0,0,,0.622,0.457,0.577,,,,,,,,,,,,,,,,,
,,19,San Diego,0.475,0.333,0,,0.593,0.358,0.469,,,,,,,,,,,,,,,,,
,,11,Seattle,0.537,1,1,,0.506,0.568,0.438,,,,,,,,,,,,,,,,,
,,6,SF Giants,0.556,0.667,0,,0.573,0.539,0.469,,,,,,,,,,,,,,,,,
,,7,St. Louis,0.55,0,0,,0.635,0.465,0.592,,,,,,,,,,,,,,,,,
,,20,Tampa Bay,0.475,0.333,0,,0.444,0.506,0.559,,,,,,,,,,,,,,,,,
,,28,Texas,0.414,0.333,0,,0.407,0.42,0.558,,,,,,,,,,,,,,,,,
,,14,Toronto,0.512,0.667,0,,0.568,0.457,0.457,,,,,,,,,,,,,,,,,
,,3,Washington,0.584,0.333,0,,0.615,0.554,,,,,,,,,,,,,,,,,,
